Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR17216044,RNA-Seq,300,25711221000,PRJNA788430,SAMN23970880,8089744583,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX13395921,GSM5730469,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:13:00Z,1,GSM5730469,Lung,SRP350516,Lung
SRR17216045,RNA-Seq,300,25734892200,PRJNA788430,SAMN23970881,8039248509,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX13395922,GSM5730470,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:54:00Z,1,GSM5730470,Skin,SRP350516,Skin
SRR17216046,RNA-Seq,300,20165075100,PRJNA788430,SAMN23970882,6338193557,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX13395923,GSM5730471,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:16:00Z,1,GSM5730471,Brain,SRP350516,Brain
SRR17216047,RNA-Seq,300,25040055600,PRJNA788430,SAMN23970883,7813831398,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX13395924,GSM5730472,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:15:00Z,1,GSM5730472,Heart,SRP350516,Heart
SRR17216048,RNA-Seq,300,25169628900,PRJNA788430,SAMN23970884,7903783887,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX13395925,GSM5730473,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:13:00Z,1,GSM5730473,Kidney,SRP350516,Kidney
SRR17216049,RNA-Seq,300,20734920300,PRJNA788430,SAMN23970885,6469637488,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX13395926,GSM5730474,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:53:00Z,1,GSM5730474,Liver,SRP350516,Liver
SRR17216050,RNA-Seq,300,20879245800,PRJNA788430,SAMN23970886,6587048904,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX13395927,GSM5730475,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:40:00Z,1,GSM5730475,Lung,SRP350516,Lung
SRR17216051,RNA-Seq,300,22617522300,PRJNA788430,SAMN23970887,7113344064,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX13395928,GSM5730476,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:09:00Z,1,GSM5730476,SKin,SRP350516,SKin
SRR17216052,RNA-Seq,300,26798577600,PRJNA788430,SAMN23970888,8468563419,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX13395817,GSM5730477,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:26:00Z,1,GSM5730477,Brain,SRP350516,Brain
SRR17216053,RNA-Seq,300,21197482500,PRJNA788430,SAMN23971018,6651586415,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX13395818,GSM5730478,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:26:00Z,1,GSM5730478,Heart,SRP350516,Heart
SRR17216054,RNA-Seq,300,16748610600,PRJNA788430,SAMN23971019,5228963548,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX13395819,GSM5730479,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:00:00Z,1,GSM5730479,Kidney,SRP350516,Kidney
SRR17216055,RNA-Seq,300,26382158400,PRJNA788430,SAMN23971020,8229144942,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX13395820,GSM5730480,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:31:00Z,1,GSM5730480,Liver,SRP350516,Liver
SRR17216056,RNA-Seq,300,26380723500,PRJNA788430,SAMN23971021,8293777805,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX13395821,GSM5730481,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:00:00Z,1,GSM5730481,Lung,SRP350516,Lung
SRR17216057,RNA-Seq,300,24009514500,PRJNA788430,SAMN23971141,7528363261,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX13395822,GSM5730482,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:05:00Z,1,GSM5730482,Skin,SRP350516,Skin
SRR17216058,RNA-Seq,300,23138149200,PRJNA788430,SAMN23971142,7251357812,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX13395823,GSM5730483,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T14:37:00Z,1,GSM5730483,Brain,SRP350516,Brain
SRR17216059,RNA-Seq,300,24898945500,PRJNA788430,SAMN23971143,7765442741,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX13395824,GSM5730484,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T14:14:00Z,1,GSM5730484,Heart,SRP350516,Heart
SRR17216060,RNA-Seq,300,18668672100,PRJNA788430,SAMN23971144,5840175978,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX13395825,GSM5730485,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:47:00Z,1,GSM5730485,Kidney,SRP350516,Kidney
SRR17216061,RNA-Seq,300,23421026100,PRJNA788430,SAMN23970989,7383521892,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX13395826,GSM5730486,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:41:00Z,1,GSM5730486,Liver,SRP350516,Liver
SRR17216062,RNA-Seq,300,21790412700,PRJNA788430,SAMN23970990,6866356424,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX13395827,GSM5730487,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:32:00Z,1,GSM5730487,Lung,SRP350516,Lung
SRR17216063,RNA-Seq,300,24514997400,PRJNA788430,SAMN23970991,7695136118,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13395828,GSM5730488,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Acomys russatus,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:28:00Z,1,GSM5730488,Skin,SRP350516,Skin
SRR17216064,RNA-Seq,300,26634212400,PRJNA788430,SAMN23970992,8763112281,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX13395829,GSM5730489,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:49:00Z,1,GSM5730489,Heart,SRP350516,Heart
SRR17216065,RNA-Seq,300,30733096800,PRJNA788430,SAMN23970993,10068625475,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX13395830,GSM5730490,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:44:00Z,1,GSM5730490,Liver,SRP350516,Liver
SRR17216066,RNA-Seq,300,26411867400,PRJNA788430,SAMN23970994,8647852009,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX13395831,GSM5730491,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:11:00Z,1,GSM5730491,Lung,SRP350516,Lung
SRR17216067,RNA-Seq,300,33875284200,PRJNA788430,SAMN23970995,11115161385,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX13395832,GSM5730492,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:27:00Z,1,GSM5730492,Heart,SRP350516,Heart
SRR17216068,RNA-Seq,300,26010348300,PRJNA788430,SAMN23970996,8544648730,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX13396073,GSM5730493,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:02:00Z,1,GSM5730493,Kidney,SRP350516,Kidney
SRR17216069,RNA-Seq,300,28033157400,PRJNA788430,SAMN23970997,9214016174,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX13396074,GSM5730494,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T14:17:00Z,1,GSM5730494,Lung,SRP350516,Lung
SRR17216070,RNA-Seq,300,26705853900,PRJNA788430,SAMN23970998,8691080741,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX13396075,GSM5730495,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:45:00Z,1,GSM5730495,Skin,SRP350516,Skin
SRR17216071,RNA-Seq,300,33744677100,PRJNA788430,SAMN23970999,11148344159,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX13396076,GSM5730496,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:42:00Z,1,GSM5730496,Spleen,SRP350516,Spleen
SRR17216072,RNA-Seq,300,30630740100,PRJNA788430,SAMN23971000,10035268735,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX13396077,GSM5730497,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:25:00Z,1,GSM5730497,Brain,SRP350516,Brain
SRR17216073,RNA-Seq,300,27426855900,PRJNA788430,SAMN23971001,8917360664,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX13396078,GSM5730498,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T14:14:00Z,1,GSM5730498,Heart,SRP350516,Heart
SRR17216074,RNA-Seq,300,30544278900,PRJNA788430,SAMN23971002,9894136894,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX13396079,GSM5730499,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:16:00Z,1,GSM5730499,Kidney,SRP350516,Kidney
SRR17216075,RNA-Seq,300,28277015400,PRJNA788430,SAMN23971003,9133053703,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX13396080,GSM5730500,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:16:00Z,1,GSM5730500,Liver,SRP350516,Liver
SRR17216076,RNA-Seq,300,28164046800,PRJNA788430,SAMN23971004,9186787568,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX13396081,GSM5730501,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:06:00Z,1,GSM5730501,Skin,SRP350516,Skin
SRR17216077,RNA-Seq,300,29903419200,PRJNA788430,SAMN23971005,9794686077,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX13396082,GSM5730502,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:05:00Z,1,GSM5730502,Spleen,SRP350516,Spleen
SRR17216078,RNA-Seq,300,30215148600,PRJNA788430,SAMN23971006,9869004583,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX13396083,GSM5730503,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T14:31:00Z,1,GSM5730503,Brain,SRP350516,Brain
SRR17216079,RNA-Seq,300,24691175100,PRJNA788430,SAMN23971007,7988921675,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX13396084,GSM5730504,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T14:04:00Z,1,GSM5730504,Kidney,SRP350516,Kidney
SRR17216080,RNA-Seq,300,27738194400,PRJNA788430,SAMN23971008,9001712691,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX13396085,GSM5730505,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:37:00Z,1,GSM5730505,Liver,SRP350516,Liver
SRR17216081,RNA-Seq,300,23917400700,PRJNA788430,SAMN23971009,7871602775,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX13396086,GSM5730506,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:36:00Z,1,GSM5730506,Lung,SRP350516,Lung
SRR17216082,RNA-Seq,300,26597032500,PRJNA788430,SAMN23971010,8673819502,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX13396087,GSM5730507,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:52:00Z,1,GSM5730507,Skin,SRP350516,Skin
SRR17216083,RNA-Seq,300,32692522200,PRJNA788430,SAMN23971011,10717547555,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX13396088,GSM5730508,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:41:00Z,1,GSM5730508,Spleen,SRP350516,Spleen
SRR17216084,RNA-Seq,300,33016256400,PRJNA788430,SAMN23971012,10790599796,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX13396193,GSM5730509,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:37:00Z,1,GSM5730509,Brain,SRP350516,Brain
SRR17216085,RNA-Seq,300,31264810800,PRJNA788430,SAMN23971013,10259541376,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX13396194,GSM5730510,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T14:20:00Z,1,GSM5730510,Heart,SRP350516,Heart
SRR17216086,RNA-Seq,300,31158696900,PRJNA788430,SAMN23971014,10134067948,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX13396195,GSM5730511,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:39:00Z,1,GSM5730511,Kidney,SRP350516,Kidney
SRR17216087,RNA-Seq,300,27921676200,PRJNA788430,SAMN23971015,9120271701,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX13396196,GSM5730512,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:49:00Z,1,GSM5730512,Liver,SRP350516,Liver
SRR17216088,RNA-Seq,300,28878367800,PRJNA788430,SAMN23971016,9327711935,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX13396197,GSM5730513,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:06:00Z,1,GSM5730513,Lung,SRP350516,Lung
SRR17216089,RNA-Seq,300,30008756700,PRJNA788430,SAMN23971158,9769150757,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX13396198,GSM5730514,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T14:09:00Z,1,GSM5730514,Skin,SRP350516,Skin
SRR17216090,RNA-Seq,300,24825962400,PRJNA788430,SAMN23971159,8086126370,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX13396199,GSM5730515,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:33:00Z,1,GSM5730515,Spleen,SRP350516,Spleen
SRR17216091,RNA-Seq,300,28036527000,PRJNA788430,SAMN23971160,9105078191,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX13396200,GSM5730516,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:20:00Z,1,GSM5730516,Brain,SRP350516,Brain
SRR17216092,RNA-Seq,300,30002778900,PRJNA788430,SAMN23971161,9723151264,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX13396201,GSM5730517,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:20:00Z,1,GSM5730517,Heart,SRP350516,Heart
SRR17216093,RNA-Seq,300,30370487100,PRJNA788430,SAMN23971162,9901964463,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX13396202,GSM5730518,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T14:15:00Z,1,GSM5730518,Kidney,SRP350516,Kidney
SRR17216094,RNA-Seq,300,28061786400,PRJNA788430,SAMN23971163,9086432355,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX13396203,GSM5730519,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:05:00Z,1,GSM5730519,Liver,SRP350516,Liver
SRR17216095,RNA-Seq,300,28062222900,PRJNA788430,SAMN23971164,9122805671,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX13396204,GSM5730520,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:59:00Z,1,GSM5730520,Lung,SRP350516,Lung
SRR17216096,RNA-Seq,300,27661302900,PRJNA788430,SAMN23971165,9077225462,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX13396205,GSM5730521,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T12:59:00Z,1,GSM5730521,Skin,SRP350516,Skin
SRR17216097,RNA-Seq,300,32395011900,PRJNA788430,SAMN23971166,10528920243,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX13396206,GSM5730522,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Castor canadensis,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:50:00Z,1,GSM5730522,Spleen,SRP350516,Spleen
SRR17216098,RNA-Seq,300,22674374700,PRJNA788430,SAMN23971167,7149311799,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX13396207,GSM5730523,NextSeq 550,PAIRED,cDNA,TRANSCRIPTOMIC,Neotoma cinerea,ILLUMINA,2022-05-19T00:00:00Z,2021-12-13T13:26:00Z,1,GSM5730523,Heart,SRP350516,Heart
